2019-09-27 16:54:23 - urllib3.connectionpool - DEBUG: - Starting new HTTP connection (1): 127.0.0.1:8888
2019-09-27 16:54:23 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/V2/StudentSkip/loginCheckV4.action HTTP/1.1" 200 7485
2019-09-27 16:54:23 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Message/getListByType.action HTTP/1.1" 200 None
2019-09-27 16:54:23 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Topic/getDiscoveryIndex.action HTTP/1.1" 200 7099
2019-09-27 16:54:24 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Topic/findMessage.action HTTP/1.1" 200 2106
2019-09-27 16:54:24 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/V2/Treehole/Message/getMessageByTopicIdV5.action HTTP/1.1" 200 449
2019-09-27 16:54:24 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/News/getListV2.action HTTP/1.1" 200 7041
2019-09-27 16:54:24 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/V2/Student/getTopInfoById.action HTTP/1.1" 200 935
2019-09-27 16:54:25 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Message/showMovement.action HTTP/1.1" 200 None
2019-09-27 16:54:25 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/V2/Student/getIndexInfoById.action HTTP/1.1" 200 20
2019-09-27 16:54:25 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Student/getInfoByIdV4.action HTTP/1.1" 404 949
2019-09-27 16:54:26 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Base/V1/Celebrity/list.action HTTP/1.1" 200 5297
2019-09-27 16:54:26 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Sociality/Contacts/V4/getFansList.action HTTP/1.1" 200 22881
2019-09-27 16:54:26 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Sociality/Contacts/V4/findAssociatedUsersV2.action HTTP/1.1" 200 16903
2019-09-27 16:54:26 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Sociality/Contacts/V4/guessYouLikeUser.action HTTP/1.1" 200 98
2019-09-27 16:54:27 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Comment/getMyInfoV4.action HTTP/1.1" 200 243
2019-09-27 16:54:28 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Comment/getMyInfoV4.action HTTP/1.1" 200 20197
2019-09-27 16:54:28 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Comment/getMyInfoV4.action HTTP/1.1" 200 13380
2019-09-27 16:54:30 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Comment/getMyCommentV4.action HTTP/1.1" 200 20644
2019-09-27 16:54:30 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Search/byType.action HTTP/1.1" 200 None
2019-09-27 16:54:31 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Search/byType.action HTTP/1.1" 200 None
2019-09-27 16:55:39 - urllib3.connectionpool - DEBUG: - Starting new HTTP connection (1): 127.0.0.1:8888
2019-09-27 16:55:39 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/V2/StudentSkip/loginCheckV4.action HTTP/1.1" 200 7485
2019-09-27 16:55:39 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Message/getListByType.action HTTP/1.1" 200 None
2019-09-27 16:55:39 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Topic/getDiscoveryIndex.action HTTP/1.1" 200 7099
2019-09-27 16:55:40 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Topic/findMessage.action HTTP/1.1" 200 2107
2019-09-27 16:55:40 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/V2/Treehole/Message/getMessageByTopicIdV5.action HTTP/1.1" 200 449
2019-09-27 16:55:40 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/News/getListV2.action HTTP/1.1" 200 7042
2019-09-27 16:55:40 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/V2/Student/getTopInfoById.action HTTP/1.1" 200 935
2019-09-27 16:55:41 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Message/showMovement.action HTTP/1.1" 200 None
2019-09-27 16:55:41 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/V2/Student/getIndexInfoById.action HTTP/1.1" 200 20
2019-09-27 16:55:41 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Student/getInfoByIdV4.action HTTP/1.1" 404 949
2019-09-27 16:55:43 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Base/V1/Celebrity/list.action HTTP/1.1" 200 5297
2019-09-27 16:55:43 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Sociality/Contacts/V4/getFansList.action HTTP/1.1" 200 22881
2019-09-27 16:55:43 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Sociality/Contacts/V4/findAssociatedUsersV2.action HTTP/1.1" 200 16903
2019-09-27 16:55:43 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Sociality/Contacts/V4/guessYouLikeUser.action HTTP/1.1" 200 98
2019-09-27 16:55:44 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Comment/getMyInfoV4.action HTTP/1.1" 200 243
2019-09-27 16:55:44 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Comment/getMyInfoV4.action HTTP/1.1" 200 20197
2019-09-27 16:55:44 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Comment/getMyInfoV4.action HTTP/1.1" 200 26757
2019-09-27 16:55:44 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Comment/getMyCommentV4.action HTTP/1.1" 200 20644
2019-09-27 16:55:44 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Search/byType.action HTTP/1.1" 200 None
2019-09-27 16:55:45 - urllib3.connectionpool - DEBUG: - http://127.0.0.1:8888 "POST http://192.168.0.8:80/Treehole/V4/Search/byType.action HTTP/1.1" 200 None
